date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:37	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:11:37%20GMT	http://archive.pycon.kr/2016	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016.0.delayed	(from )
22:11:37	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:11:38%20GMT	https://archive.pycon.kr/2016	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016.1.delayed	(from )
22:11:38	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Jul%202021%2013:11:38%20GMT	https://archive.pycon.kr/robots.txt		(from )
22:11:38	19132/19132	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2013:11:38%20GMT	https://archive.pycon.kr/2016apac/	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/index.html	(from )
22:11:38	90795/90795	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2256d43808-162ab%22	https://archive.pycon.kr/2016apac/static/image/pyconkr-2016-tag.jpg	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/static/image/pyconkr-2016-tag.jpg	(from https://archive.pycon.kr/2016apac/)
22:11:38	99961/99961	---MCZ	200	added ('OK')	text/css	etag:W/%2256d43808-18679%22	https://archive.pycon.kr/2016apac/static/components/bootstrap/dist/css/bootstrap.min.css	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/static/components/bootstrap/dist/css/bootstrap.min.css	(from https://archive.pycon.kr/2016apac/)
22:11:39	19473/19473	---MCZ	200	added ('OK')	text/css	etag:W/%2256d43809-4c11%22	https://archive.pycon.kr/2016apac/static/components/bootstrap-social/bootstrap-social.css	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/static/components/bootstrap-social/bootstrap-social.css	(from https://archive.pycon.kr/2016apac/)
22:11:39	20766/20766	---MCZ	200	added ('OK')	text/css	etag:W/%2256d43808-511e%22	https://archive.pycon.kr/2016apac/static/components/font-awesome/css/font-awesome.min.css	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/static/components/font-awesome/css/font-awesome.min.css	(from https://archive.pycon.kr/2016apac/)
22:11:39	11104/11104	---MCZ	200	added ('OK')	text/css	etag:W/%22578e25f8-2b60%22	https://archive.pycon.kr/2016apac/static/css/pyconkr.css	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/static/css/pyconkr.css	(from https://archive.pycon.kr/2016apac/)
22:11:39	2657/2657	---MCZ	200	added ('OK')	text/css	etag:W/%22570a9223-a61%22	https://archive.pycon.kr/2016apac/static/css/pyconkr-media.css	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/static/css/pyconkr-media.css	(from https://archive.pycon.kr/2016apac/)
22:11:40	596/596	---MC-	200	added ('OK')	text/css	date:Mon,%2012%20Jul%202021%2013:11:40%20GMT	http://fonts.googleapis.com/earlyaccess/nanumgothic.css	C:/pycon2016/pyconkr2016/fonts.googleapis.com/earlyaccess/nanumgothic.css	(from https://archive.pycon.kr/2016apac/)
22:11:40	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2256d43808-47e%22	https://archive.pycon.kr/2016apac/static/image/favicon.ico	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/static/image/favicon.ico	(from https://archive.pycon.kr/2016apac/)
22:11:41	92629/92629	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256d43808-169d5%22	https://archive.pycon.kr/2016apac/static/components/jquery/jquery.min.js	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/static/components/jquery/jquery.min.js	(from https://archive.pycon.kr/2016apac/)
22:11:41	29110/29110	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256d43808-71b6%22	https://archive.pycon.kr/2016apac/static/components/bootstrap/dist/js/bootstrap.min.js	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/static/components/bootstrap/dist/js/bootstrap.min.js	(from https://archive.pycon.kr/2016apac/)
22:11:42	3014/3014	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256d43808-bc6%22	https://archive.pycon.kr/2016apac/static/js/rgb-hsv.js	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/static/js/rgb-hsv.js	(from https://archive.pycon.kr/2016apac/)
22:11:42	15138/15138	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256d43809-3b22%22	https://archive.pycon.kr/2016apac/static/components/typed.js/js/typed.js	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/static/components/typed.js/js/typed.js	(from https://archive.pycon.kr/2016apac/)
22:11:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:11:43%20GMT	https://archive.pycon.kr/2016apac/about/pyconkr	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/about/pyconkr	(from https://archive.pycon.kr/2016apac/)
22:11:42	55047/55047	---MC-	200	added ('OK')	application/javascript	date:Mon,%2012%20Jul%202021%2013:11:42%20GMT	https://apis.google.com/js/plusone.js	C:/pycon2016/pyconkr2016/apis.google.com/js/plusone.js	(from https://archive.pycon.kr/2016apac/)
22:11:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:11:43%20GMT	https://archive.pycon.kr/2016apac/about/coc	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/about/coc	(from https://archive.pycon.kr/2016apac/)
22:11:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:11:43%20GMT	https://archive.pycon.kr/2016apac/about/announcements	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/about/announcements	(from https://archive.pycon.kr/2016apac/)
22:11:43	17878/17878	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2013:11:43%20GMT	https://archive.pycon.kr/2016apac/about/pyconkr/	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/about/pyconkr/index.html	(from https://archive.pycon.kr/2016apac/)
22:11:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:11:43%20GMT	https://archive.pycon.kr/2016apac/about/sponsor	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/about/sponsor	(from https://archive.pycon.kr/2016apac/)
22:11:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:11:43%20GMT	https://archive.pycon.kr/2016apac/about/patron	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/about/patron	(from https://archive.pycon.kr/2016apac/)
22:11:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:11:44%20GMT	https://archive.pycon.kr/2016apac/about/sponsorship	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/about/sponsorship	(from https://archive.pycon.kr/2016apac/)
22:11:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:11:44%20GMT	https://archive.pycon.kr/2016apac/about/staff	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/about/staff	(from https://archive.pycon.kr/2016apac/)
22:11:44	21328/21328	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2013:11:44%20GMT	https://archive.pycon.kr/2016apac/about/coc/	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/about/coc/index.html	(from https://archive.pycon.kr/2016apac/)
22:11:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:11:44%20GMT	https://archive.pycon.kr/2016apac/about/contact	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/about/contact	(from https://archive.pycon.kr/2016apac/)
22:11:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:11:44%20GMT	https://archive.pycon.kr/2016apac/program/schedule	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/program/schedule	(from https://archive.pycon.kr/2016apac/)
22:11:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:11:45%20GMT	https://archive.pycon.kr/2016apac/program/list	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/program/list	(from https://archive.pycon.kr/2016apac/)
22:11:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:11:45%20GMT	https://archive.pycon.kr/2016apac/program/preference	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/program/preference	(from https://archive.pycon.kr/2016apac/)
22:11:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:11:45%20GMT	https://archive.pycon.kr/2016apac/program/keynote	C:/pycon2016/pyconkr2016/archive.pycon.kr/2016apac/program/keynote	(from https://archive.pycon.kr/2016apac/)
