date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:26	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2012:58:26%20GMT	http://archive.pycon.kr/2014	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014.0.delayed	(from )
21:58:27	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2012:58:27%20GMT	https://archive.pycon.kr/2014	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014.1.delayed	(from )
21:58:27	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Jul%202021%2012:58:27%20GMT	https://archive.pycon.kr/robots.txt		(from )
21:58:27	15019/15019	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2012:58:27%20GMT	https://archive.pycon.kr/2014/	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/index.html	(from )
21:58:27	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2012:58:28%20GMT	http://archive.pycon.kr/2014/2014/static/image/pyconkr-badge.png	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/2014/static/image/pyconkr-badge.2.delayed	(from https://archive.pycon.kr/2014/)
21:58:28	0/0	---MC-	301	error ('MOVED%20PERMANENTLY')	text/html	date:Mon,%2012%20Jul%202021%2012:58:28%20GMT	https://archive.pycon.kr/2014/2014/static/image/pyconkr-badge.png	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/2014/static/image/pyconkr-badge.png	(from https://archive.pycon.kr/2014/)
21:58:28	99961/99961	---MCZ	200	added ('OK')	text/css	etag:W/%2254d1b6ec-18679%22	https://archive.pycon.kr/2014/static/components/bootstrap/dist/css/bootstrap.min.css	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/static/components/bootstrap/dist/css/bootstrap.min.css	(from https://archive.pycon.kr/2014/)
21:58:28	115/115	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2012%20Jul%202021%2012:58:28%20GMT	https://archive.pycon.kr/2014/2014/static/image/pyconkr-badge.png/	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/2014/static/image/pyconkr-badge.png/index.html	(from https://archive.pycon.kr/2014/)
21:58:28	19473/19473	---MCZ	200	added ('OK')	text/css	etag:W/%2254d1b6ed-4c11%22	https://archive.pycon.kr/2014/static/components/bootstrap-social/bootstrap-social.css	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/static/components/bootstrap-social/bootstrap-social.css	(from https://archive.pycon.kr/2014/)
21:58:28	20766/20766	---MCZ	200	added ('OK')	text/css	etag:W/%2254d1b6ec-511e%22	https://archive.pycon.kr/2014/static/components/font-awesome/css/font-awesome.min.css	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/static/components/font-awesome/css/font-awesome.min.css	(from https://archive.pycon.kr/2014/)
21:58:28	7534/7534	---MCZ	200	added ('OK')	text/css	etag:W/%2254d1b22d-1d6e%22	https://archive.pycon.kr/2014/static/css/pyconkr.css	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/static/css/pyconkr.css	(from https://archive.pycon.kr/2014/)
21:58:29	754/754	---M--	200	added ('OK')	text/css	etag:%2254d1b22d-2f2%22	https://archive.pycon.kr/2014/static/css/pyconkr-media.css	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/static/css/pyconkr-media.css	(from https://archive.pycon.kr/2014/)
21:58:29	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2012:58:29%20GMT	http://archive.pycon.kr/2014/2014/	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/2014/index.html	(from https://archive.pycon.kr/2014/)
21:58:29	596/596	---MC-	200	added ('OK')	text/css	date:Mon,%2012%20Jul%202021%2012:58:29%20GMT	http://fonts.googleapis.com/earlyaccess/nanumgothic.css	C:/pycon2014/pyconkr2014/fonts.googleapis.com/earlyaccess/nanumgothic.css	(from https://archive.pycon.kr/2014/)
21:58:29	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2254d1b22d-47e%22	https://archive.pycon.kr/2014/static/image/favicon.ico	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/static/image/favicon.ico	(from https://archive.pycon.kr/2014/)
21:58:30	92629/92629	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254d1b6ec-169d5%22	https://archive.pycon.kr/2014/static/components/jquery/jquery.min.js	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/static/components/jquery/jquery.min.js	(from https://archive.pycon.kr/2014/)
21:58:30	2636/2636	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254d1b6ec-a4c%22	https://archive.pycon.kr/2014/static/components/html5shiv/dist/html5shiv.min.js	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/static/components/html5shiv/dist/html5shiv.min.js	(from https://archive.pycon.kr/2014/)
21:58:30	29110/29110	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254d1b6ec-71b6%22	https://archive.pycon.kr/2014/static/components/bootstrap/dist/js/bootstrap.min.js	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/static/components/bootstrap/dist/js/bootstrap.min.js	(from https://archive.pycon.kr/2014/)
21:58:32	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2012:58:31%20GMT	http://archive.pycon.kr/2014/about/pyconkr	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/about/pyconkr.f.delayed	(from https://archive.pycon.kr/2014/)
21:58:32	13297/13297	---MCZ	200	added ('OK')	image/png	etag:W/%2254d1b22d-33f1%22	https://archive.pycon.kr/2014/static/image/pyconkr-logo-small.png	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/static/image/pyconkr-logo-small.png	(from https://archive.pycon.kr/2014/)
21:58:32	0/0	---MC-	301	error ('MOVED%20PERMANENTLY')	text/html	date:Mon,%2012%20Jul%202021%2012:58:32%20GMT	https://archive.pycon.kr/2014/about/pyconkr	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/about/pyconkr	(from https://archive.pycon.kr/2014/)
21:58:33	12311/12311	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2012:58:33%20GMT	https://archive.pycon.kr/2014/about/pyconkr/	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/about/pyconkr/index.html	(from https://archive.pycon.kr/2014/)
21:58:33	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2012:58:33%20GMT	http://archive.pycon.kr/2014/about/coc	C:/pycon2014/pyconkr2014/archive.pycon.kr/2014/about/coc.11.delayed	(from https://archive.pycon.kr/2014/)
